row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
105,Africa34,2009,Kenya,Africa,5218,https://www.conservationevidence.com/individual-study/5218,2,"International Centre of Insect Physiology and Ecology, Plant Health Division, P.O. Box 30772, Nairobi 00100, Kenya",Kenya,NGO,IGO,Africa,5218 2,0
106,Africa34,2009,Kenya,Africa,5218,https://www.conservationevidence.com/individual-study/5218,3,"School of Environmental Sciences, North-West University (Potchefstroom Campus), Potchefstroom, South Africa",South Africa,University,,Africa,5218 3,0
107,Africa34,2009,Kenya,Africa,5218,https://www.conservationevidence.com/individual-study/5218,4,"Department of Zoological Sciences, Kenyatta University, Nairobi, Kenya",Kenya,University,,Africa,5218 4,0
108,Africa34,2009,Kenya,Africa,5218,https://www.conservationevidence.com/individual-study/5218,5,"Biological Chemistry Department, Rothamsted Research, Harpenden, Hertfordshire AL5 2JQ, UK",UK,NGO,nonprofit research,Europe,5218 5,0
109,Africa34,2009,Kenya,Africa,5218,https://www.conservationevidence.com/individual-study/5218,6,"Biological Chemistry Department, Rothamsted Research, Harpenden, Hertfordshire AL5 2JQ, UK",UK,NGO,,Europe,5218 6,1
110,Africa35,2014,Namibia,Africa,7983,https://www.conservationevidence.com/individual-study/7983,1,"N/a’an ku sê Research Programme, P.O. Box 99292, Windhoek, Namibia",Namibia,NGO,,Africa,7983 1,1
111,Africa35,2014,Namibia,Africa,7983,https://www.conservationevidence.com/individual-study/7983,2,"Department of Anatomy, School of Medicine, University of Namibia, 340 Mandume Ndemufayo Avenue,
Windhoek, Namibia",Namibia,University,,Africa,7983 2,0
112,Africa35,2014,Namibia,Africa,7983,https://www.conservationevidence.com/individual-study/7983,3,"N/a’an ku sê Research Programme, P.O. Box 99292, Windhoek, Namibia",Namibia,NGO,,Africa,7983 3,0
113,Africa35,2014,Namibia,Africa,7983,https://www.conservationevidence.com/individual-study/7983,4,"N/a’an ku sê Research Programme, P.O. Box 99292, Windhoek, Namibia",Namibia,NGO,,Africa,7983 4,1
114,Africa36,2009,South Africa,Africa,7996,https://www.conservationevidence.com/individual-study/7996,1,"School of Biological and Conservation Sciences, University of KwaZulu-Natal,
Private Bag X01, Scottsville, Pietermaritzburg, 3209 South Africa",South Africa,University,,Africa,7996 1,1
115,Africa36,2009,South Africa,Africa,7996,https://www.conservationevidence.com/individual-study/7996,2,"School of Biological and Conservation Sciences, University of KwaZulu-Natal,
Private Bag X01, Scottsville, Pietermaritzburg, 3209 South Africa",South Africa,University,,Africa,7996 2,0
116,Africa36,2009,South Africa,Africa,7996,https://www.conservationevidence.com/individual-study/7996,3,"School of Biological and Conservation Sciences, University of KwaZulu-Natal,
Private Bag X01, Scottsville, Pietermaritzburg, 3209 South Africa",South Africa,University,,Africa,7996 3,1
117,Africa37,2009,Kenya,Africa,7658,https://www.conservationevidence.com/individual-study/7658,1,"Save the Elephants, P.O. Box 54667, Nairobi 00200, Kenya",Kenya,NGO,,Africa,7658 1,1
118,Africa37,2009,Kenya,Africa,7658,https://www.conservationevidence.com/individual-study/7658,2,"Environmental Change Institute, University of Oxford, South Parks Road, Oxford, OX1 3QY, U.K.",UK,University,,Europe,7658 2,0
119,Africa37,2009,Kenya,Africa,7658,https://www.conservationevidence.com/individual-study/7658,3,"Save the Elephants, P.O. Box 54667, Nairobi 00200, Kenya",Kenya,NGO,,Africa,7658 3,0
120,Africa37,2009,Kenya,Africa,7658,https://www.conservationevidence.com/individual-study/7658,4,"Save the Elephants, P.O. Box 54667, Nairobi 00200, Kenya",Kenya,NGO,,Africa,7658 4,1
121,Africa38,2011,Guinea,Africa,6372,https://www.conservationevidence.com/individual-study/6372,1,"School of Anthropology and Conservation, University of Kent, Canterbury, Kent CT2 7NR, UK",UK,University,,Europe,6372 1,1
122,Africa38,2011,Guinea,Africa,6372,https://www.conservationevidence.com/individual-study/6372,2,"Projet Primates France, Chimpanzee Conservation Center, St. Barthelemy, France",France,NGO,,Europe,6372 2,0
123,Africa38,2011,Guinea,Africa,6372,https://www.conservationevidence.com/individual-study/6372,3,"Chimpanzee Conservation Center, Faranah, Republic of Guinea",Guinea,NGO,,Africa,6372 3,0
